N,T,s,w,seed,extinction_time,edge_contact,late_distance_mean,final_R,final_P
150,30000,0.8,0.1,0,24041,1,0.4714045207910316,0.0,0.0
150,30000,0.8,0.1,1,24715,1,0.5079767009218425,0.7533333333333333,0.24666666666666667
150,30000,0.8,0.1,2,11857,1,0.35404345929271,0.0,0.44666666666666666
150,30000,0.8,0.1,3,30001,0,0.3093508916581975,0.26666666666666666,0.58
150,30000,0.8,0.1,4,3042,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.1,5,4779,1,0.45599780636905196,0.0,0.0
150,30000,0.8,0.1,6,14981,1,0.4714045207910316,0.0,0.0
150,30000,0.8,0.1,7,7622,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.1,8,14479,1,0.6343853905109007,0.0,1.0
150,30000,0.8,0.1,9,4021,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.1,10,5643,1,0.29235588888894004,0.6733333333333333,0.32666666666666666
150,30000,0.8,0.1,11,5743,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.1,12,10516,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.1,13,17296,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.1,14,3868,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.1,15,4622,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.1,16,10875,1,0.4714045207910316,0.0,0.0
150,30000,0.8,0.1,17,4464,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.1,18,15818,1,0.6647550941709276,0.9466666666666667,0.0
150,30000,0.8,0.1,19,6308,1,0.39039811769273436,0.0,0.013333333333333334
150,30000,0.8,0.5,0,7282,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.5,1,13001,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.5,2,8513,1,0.6335515858053705,0.0,1.0
150,30000,0.8,0.5,3,9765,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.5,4,16294,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.5,5,6170,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.5,6,29479,1,0.5133623237518341,0.0,0.5933333333333334
150,30000,0.8,0.5,7,10947,1,0.7369839806828244,0.0,1.0
150,30000,0.8,0.5,8,8881,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.5,9,11116,1,0.4714045207910316,0.0,0.0
150,30000,0.8,0.5,10,9746,1,0.4714045207910316,0.0,0.0
150,30000,0.8,0.5,11,11886,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.5,12,4743,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.5,13,5601,1,0.4220096068114144,0.0,0.08666666666666667
150,30000,0.8,0.5,14,14840,1,0.37251125620754877,0.0,0.28
150,30000,0.8,0.5,15,15252,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.5,16,25699,1,0.3666490673250172,0.0,0.24666666666666667
150,30000,0.8,0.5,17,11273,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.5,18,13798,1,0.4714045207910316,0.0,0.0
150,30000,0.8,0.5,19,15469,1,0.7453559924999239,1.0,0.0
150,30000,0.8,1.0,0,5902,1,0.4714045207910316,0.0,0.0
150,30000,0.8,1.0,1,14462,1,0.7453559924999239,1.0,0.0
