seed,N_min,N_max,N_last,N_mean,extinct_steps,near_edge_fraction,min_strategy_share,distance_mean,late_distance_mean,corr_N_distance
0,32,1858,342,925.89395,32025,0.800625,0.0,0.23160598084082298,0.24607036398843146,-0.002435293865006745
1,115,1790,184,953.9656,0,0.0,0.019685039370078664,0.30274032471772216,0.3724374065470537,0.05514315623785437
2,93,1832,164,918.54795,0,0.0,0.10619469026548625,0.09076010338739332,0.18348208378570818,-0.1303162868245895
3,1,1678,1,837.0234799074269,7835,0.32968651378077,0.0,0.43108407461231546,0.7453559924999247,-0.07633605962544872
4,58,1738,78,933.8932,0,0.0,0.012048192771084192,0.14217500188966437,0.22263760836496085,0.0994766563118633
5,1,1637,1,871.9361582975546,376,0.02339617945367432,0.0,0.1783818707248193,0.2510174333819008,0.10494382217589643
6,89,2110,542,1086.29085,0,0.0,0.17187499999999975,0.1348639546780171,0.2041898038872629,0.18758858210766297
7,1,1531,1,817.7735949806435,63,0.00841009211053264,0.0,0.2744029575844606,0.2984051054788747,0.043037718123362365
8,1,1602,1,837.4628902478274,19,0.0012230447376890892,0.0,0.16732688802112738,0.1939958768814296,0.054495699132920336
9,110,2149,550,1095.2533,0,0.0,0.21891891891891832,0.09435440026741375,0.11382687488897514,0.2728634019837643
